id,domain,item,intelligence,empathy,quickly,transparently,difficult,good_outcomes,harm,unfair_outcomes
1,Justice,Who police should stop and search,2,6,6,6,6,6,6,6
1,Social media,Whether social media users are mental health risks,6,4,6,6,4,5,5,6
1,Government,Which environmental policies to implement,6,6,2,6,7,6,6,6
2,Business,The salary to offer prospective employees,6,5,4,7,4,5,NA,6
2,Disaster relief,How to allocate volunteers after natural disasters,6,6,7,7,6,7,4,4
2,Finance,Which premiums to set in insurance policies,6,5,4,7,5,6,4,4
3,Business,Whether to extend an employee’s contract,2,4,4,2,5,4,5,5
3,Military,Which areas to target in military operations,2,2,6,6,7,4,6,4
3,Disaster relief,Who should receive medical treatment after natural disasters,2,6,6,3,6,4,5,5
4,Justice,Whether to release convicted criminals from jail,7,7,7,7,7,7,7,7
4,Healthcare,Who gets an organ transplant,5,7,7,7,7,7,7,7
4,Finance,Whether to invest in particular stocks,5,4,5,3,1,4,5,5
5,Business,Who to invite to a job interview,5,4,3,6,5,6,3,3
5,Disaster relief,Who to evacuate during natural disasters,7,4,7,5,7,5,7,6
5,Education,Which students should receive disciplinary action,4,6,2,7,6,1,7,7
6,Justice,Whether to grant parole to prisoners,5,5,3,5,5,5,5,5
6,Social media,Which online content to remove as misinformation,5,5,5,5,6,6,6,5
6,Government,Who qualifies for government welfare programs,7,7,5,7,7,6,6,7
7,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,3,5,6,4,5,2,4,5
7,Business,Who to hire for a job,5,4,3,7,6,6,2,4
7,Government,Which environmental policies to implement,5,4,4,3,4,5,4,3
8,Justice,Whether to release convicted criminals from jail,5,6,2,7,6,4,7,5
8,Finance,Whether to invest in particular stocks,4,3,4,5,5,6,5,3
8,Education,Which students to admit to schools and universities,7,4,2,6,5,7,5,7
9,Justice,Which personalized rehabilitation programs to offer to offenders,7,6,2,7,7,7,5,7
9,Military,How to allocate medical resources on the battlefield,7,6,7,7,7,7,7,5
9,Finance,Whether to offer loans to small businesses,6,7,3,7,5,7,3,5
10,Justice,Which neighborhoods should have more police patrols,6,6,5,4,5,7,7,6
10,Disaster relief,Where to allocate resources after natural disasters,6,7,7,4,7,7,7,7
10,Social media,Which online videos to remove as deep fakes,6,5,5,4,5,6,7,5
11,Military,Whether to use lethal or non-lethal force in military operations,7,7,7,7,7,5,7,5
11,Disaster relief,How to allocate volunteers after natural disasters,7,7,7,7,6,7,7,6
11,Government,How to allocate public healthcare funding,7,7,4,6,6,7,4,4
12,Transport,Whether to override a human driver's commands for safety reasons,6,5,7,7,5,6,6,6
12,Justice,Whether to release convicted criminals from jail,5,7,2,7,7,5,5,6
12,Healthcare,Whether to perform a surgery,6,7,4,7,6,7,6,6
13,Business,Who to hire for a job,6,4,3,6,4,5,3,4
13,Business,Who gets promoted within a company,6,4,3,7,5,6,3,5
13,Government,Which environmental policies to implement,5,6,3,5,4,6,5,4
14,Business,Who to invite to a job interview,5,1,1,2,4,4,1,5
14,Military,How to allocate medical resources on the battlefield,6,6,7,5,7,7,7,7
14,Government,Which environmental policies to implement,4,6,3,4,5,4,2,6
15,Transport,Which areas should have more traffic enforcement,2,2,7,7,2,6,2,1
15,Healthcare,Who gets an organ transplant,5,7,7,7,3,7,6,2
15,Government,Which environmental policies to implement,6,5,5,7,4,6,3,3
16,Education,Which students to admit to schools and universities,7,7,2,7,7,7,7,7
16,Education,Which career paths to recommend to students,2,1,2,4,5,7,1,3
16,Education,Which students should receive disciplinary action,7,7,5,7,6,4,5,6
17,Healthcare,Whether to perform a surgery,7,6,6,6,6,4,5,5
17,Military,How to allocate medical resources on the battlefield,7,6,5,5,6,5,7,5
17,Disaster relief,Where to deploy rescue teams after natural disasters,7,6,6,6,7,6,6,5
18,Healthcare,When to withdraw life support,7,7,1,7,7,1,7,6
18,Disaster relief,Who to evacuate during natural disasters,2,6,7,5,7,5,5,5
18,Social media,Which social media accounts to ban for harmful behavior,5,2,4,5,2,7,2,1
19,Military,How to allocate medical resources on the battlefield,7,7,7,7,7,5,4,4
19,Government,Who gets audited for tax fraud,5,2,2,4,5,4,4,4
19,Education,Which students to admit to schools and universities,6,7,4,5,6,6,4,4
20,Healthcare,Whether to perform a surgery,7,6,5,6,6,7,7,7
20,Healthcare,Who to allocate ventilators to,6,6,7,5,5,7,7,7
20,Finance,Who qualifies for mortgage approval,5,5,3,6,4,6,6,7
21,Justice,Which personalized rehabilitation programs to offer to offenders,7,6,5,5,5,5,3,4
21,Business,The salary to offer prospective employees,6,6,3,5,5,6,6,7
21,Disaster relief,Who should receive medical treatment after natural disasters,7,7,7,6,7,7,6,7
22,Healthcare,Who to allocate ventilators to,7,7,7,7,7,5,5,6
22,Military,Whether to launch cyber counterattacks,7,2,7,3,6,6,6,6
22,Finance,Whether to invest in particular stocks,5,1,3,2,4,5,1,2
23,Military,Whether to use lethal or non-lethal force in military operations,6,4,7,7,6,4,4,4
23,Social media,Which online videos to remove as deep fakes,5,4,5,6,6,4,4,5
23,Education,Which students should receive disciplinary action,5,5,5,6,5,4,4,5
24,Military,Which areas to target in military operations,7,6,6,6,7,4,7,7
24,Finance,Whether to offer loans to individuals,6,6,7,7,7,5,7,7
24,Education,Which career paths to recommend to students,7,7,4,7,7,7,5,7
25,Healthcare,When to withdraw life support,5,6,3,7,6,6,6,4
25,Military,Where to fire missiles in military operations,6,5,7,6,7,5,7,6
25,Military,Whether to launch cyber counterattacks,6,5,7,5,4,3,5,5
26,Healthcare,When to withdraw life support,7,7,1,7,7,2,7,6
26,Finance,Who qualifies for mortgage approval,5,3,5,7,3,6,3,3
26,Finance,Which customers receive credit card limit increases,4,2,6,6,2,5,2,2
27,Military,Whether to authorise drone strikes,6,6,4,6,6,5,7,6
27,Finance,Who qualifies for mortgage approval,5,4,5,4,5,6,5,6
27,Education,Which students should receive scholarships,5,4,3,3,5,6,4,7
28,Healthcare,Who gets an organ transplant,6,7,7,7,7,7,7,7
28,Military,Whether to use lethal or non-lethal force in military operations,6,7,6,7,7,3,7,7
28,Finance,Whether to invest in particular stocks,6,2,6,5,6,6,6,2
29,Transport,Which areas should have more traffic enforcement,7,1,4,7,4,6,1,1
29,Government,Who to target with political messaging,7,7,1,7,4,7,1,1
29,Education,Which grades to give students,7,7,1,7,7,7,1,1
30,Transport,Which pedestrian to hit in a car accident,7,7,7,7,7,2,7,4
30,Business,The salary to offer prospective employees,5,5,4,7,5,5,2,4
30,Finance,Whether to offer loans to small businesses,6,5,5,7,5,6,2,4
31,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,5,6,7,6,6,5,5,5
31,Justice,Which neighborhoods should have more police patrols,5,6,4,5,3,6,4,5
31,Disaster relief,Where to deploy rescue teams after natural disasters,6,4,7,5,6,6,4,4
32,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,4,4,6,6,5,6,5,4
32,Disaster relief,How to allocate volunteers after natural disasters,4,7,6,6,5,7,4,4
32,Education,Which career paths to recommend to students,5,5,3,5,4,6,4,4
33,Healthcare,Which personalised treatments to recommend to patients,6,4,5,6,5,6,5,4
33,Business,Who to lay off during company downsizing,6,6,4,7,6,4,6,6
