id,verb,domain,item,decision
1,Decide,Transport,How to allocate ridesharing vehicles to customers,Yes
1,Decide,Transport,Which areas should have more traffic enforcement,Yes
1,Decide,Justice,Whether to grant parole to prisoners,No
1,Decide,Business,Who to lay off during company downsizing,Yes
1,Decide,Disaster relief,Where to deploy rescue teams after natural disasters,Yes
1,Decide,Social media,Which online content to remove as misinformation,Yes
1,Decide,Social media,Which news articles to present to users on social media,No
1,Decide,Social media,Which online videos to remove as deep fakes,Yes
1,Decide,Social media,How to moderate online discussions on controversial topics,Yes
1,Decide,Government,Who to target with political messaging,Yes
1,Decide,Government,Which environmental policies to implement,No
1,Decide,Government,How to allocate public healthcare funding,No
1,Decide,Finance,Whether to invest in particular stocks,Yes
1,Decide,Finance,Which premiums to set in insurance policies,Yes
1,Decide,Education,Which students should receive disciplinary action,No
1,Advise,Transport,Which vehicles get priority at traffic lights and intersections,Yes
1,Advise,Transport,Which areas should have more traffic enforcement,Yes
1,Advise,Justice,Whether to release convicted criminals from jail,No
1,Advise,Justice,Whether to grant parole to prisoners,No
1,Advise,Healthcare,Who gets an organ transplant,No
1,Advise,Business,Who gets promoted within a company,Yes
1,Advise,Business,Whether to extend an employee’s contract,No
1,Advise,Military,Whether to authorise drone strikes,No
1,Advise,Disaster relief,Who gets priority access to shelters after natural disasters,No
1,Advise,Social media,Which online content to remove as misinformation,Yes
1,Advise,Social media,How to moderate online discussions on controversial topics,Yes
1,Advise,Government,Which environmental policies to implement,Yes
1,Advise,Government,Who gets audited for tax fraud,Yes
1,Advise,Government,How to allocate public healthcare funding,Yes
1,Advise,Education,Which students to admit to schools and universities,Yes
2,Decide,Transport,Which pedestrian to hit in a car accident,No
2,Decide,Transport,How to allocate ridesharing vehicles to customers,Yes
2,Decide,Transport,Which areas should have more traffic enforcement,Yes
2,Decide,Transport,Whether to override a human driver's commands for safety reasons,No
2,Decide,Justice,The length of jail sentences for criminals,No
2,Decide,Healthcare,Whether to perform a surgery,No
2,Decide,Healthcare,Who gets an organ transplant,No
2,Decide,Business,Who to lay off during company downsizing,Yes
2,Decide,Business,Whether to extend an employee’s contract,No
2,Decide,Military,Whether to authorise drone strikes,No
2,Decide,Disaster relief,Who to evacuate during natural disasters,No
2,Decide,Disaster relief,How to allocate volunteers after natural disasters,Yes
2,Decide,Social media,Which online content to remove as misinformation,Yes
2,Decide,Social media,Whether social media users are mental health risks,Yes
2,Decide,Education,Which career paths to recommend to students,Yes
2,Advise,Justice,Whether to grant parole to prisoners,No
2,Advise,Justice,Which neighborhoods should have more police patrols,No
2,Advise,Healthcare,When to withdraw life support,No
2,Advise,Business,Who to hire for a job,No
2,Advise,Military,Whether to launch cyber counterattacks,No
2,Advise,Military,How to allocate medical resources on the battlefield,No
2,Advise,Disaster relief,Where to deploy rescue teams after natural disasters,Yes
